County,State,Population_July_1st_2021
Dubuque County,Iowa,"98,718"
Emmet County,Iowa,"9,321"
Fayette County,Iowa,"19,258"
Floyd County,Iowa,"15,413"
Franklin County,Iowa,"9,952"
Fremont County,Iowa,"6,567"
Greene County,Iowa,"8,717"
Grundy County,Iowa,"12,347"
Guthrie County,Iowa,"10,567"
Hamilton County,Iowa,"14,887"
Hancock County,Iowa,"10,663"
Hardin County,Iowa,"16,708"
Harrison County,Iowa,"14,669"
Henry County,Iowa,"20,387"
Howard County,Iowa,"9,478"
Humboldt County,Iowa,"9,634"
Ida County,Iowa,"6,956"
Iowa County,Iowa,"16,568"
Jackson County,Iowa,"19,368"
Jasper County,Iowa,"37,764"
Jefferson County,Iowa,"15,647"
Johnson County,Iowa,"154,748"
Jones County,Iowa,"20,805"
Keokuk County,Iowa,"9,914"
Kossuth County,Iowa,"14,529"
Lee County,Iowa,"33,215"
Linn County,Iowa,"228,939"
Louisa County,Iowa,"10,749"
Lucas County,Iowa,"8,710"
Lyon County,Iowa,"12,011"
Madison County,Iowa,"16,773"
Mahaska County,Iowa,"21,984"
Marion County,Iowa,"33,380"
Marshall County,Iowa,"39,853"
Mills County,Iowa,"14,465"
Mitchell County,Iowa,"10,555"
Monona County,Iowa,"8,574"
Monroe County,Iowa,"7,610"
Montgomery County,Iowa,"10,322"
Muscatine County,Iowa,"42,688"
O'Brien County,Iowa,"14,015"
Osceola County,Iowa,"6,159"
Page County,Iowa,"15,197"
Palo Alto County,Iowa,"8,906"
Plymouth County,Iowa,"25,650"
Pocahontas County,Iowa,"7,074"
Polk County,Iowa,"496,844"
Pottawattamie County,Iowa,"93,304"
Poweshiek County,Iowa,"18,586"
Ringgold County,Iowa,"4,639"
Sac County,Iowa,"9,752"
Scott County,Iowa,"174,170"
Shelby County,Iowa,"11,770"
Sioux County,Iowa,"35,893"
Story County,Iowa,"99,472"
Tama County,Iowa,"16,867"
Taylor County,Iowa,"5,868"
Union County,Iowa,"12,018"
Van Buren County,Iowa,"7,243"
Wapello County,Iowa,"35,256"
Warren County,Iowa,"53,402"
Washington County,Iowa,"22,491"
Wayne County,Iowa,"6,508"
Webster County,Iowa,"37,147"
Winnebago County,Iowa,"10,656"
Winneshiek County,Iowa,"19,892"
Woodbury County,Iowa,"105,607"
Worth County,Iowa,"7,385"
Wright County,Iowa,"12,785"
Allen County,Kansas,"12,464"
Anderson County,Kansas,"7,778"
Atchison County,Kansas,"16,239"
Barber County,Kansas,"4,110"
Barton County,Kansas,"25,216"
Bourbon County,Kansas,"14,323"
Brown County,Kansas,"9,455"
Butler County,Kansas,"67,889"
Chase County,Kansas,"2,598"
Chautauqua County,Kansas,"3,395"
Cherokee County,Kansas,"19,130"
Cheyenne County,Kansas,"2,633"
Clark County,Kansas,"1,977"
Clay County,Kansas,"8,077"
Cloud County,Kansas,"8,928"
Coffey County,Kansas,"8,338"
Comanche County,Kansas,"1,670"
Cowley County,Kansas,"34,496"
Crawford County,Kansas,"39,110"
Decatur County,Kansas,"2,751"
Dickinson County,Kansas,"18,459"
Doniphan County,Kansas,"7,471"
Douglas County,Kansas,"119,363"
Edwards County,Kansas,"2,832"
Elk County,Kansas,"2,441"
Ellis County,Kansas,"28,790"
Ellsworth County,Kansas,"6,336"
Finney County,Kansas,"38,107"
Ford County,Kansas,"34,159"
Franklin County,Kansas,"25,986"
Geary County,Kansas,"35,934"
Gove County,Kansas,"2,755"
Graham County,Kansas,"2,400"
Grant County,Kansas,"7,324"
Gray County,Kansas,"5,644"
Greeley County,Kansas,"1,304"
Greenwood County,Kansas,"5,939"
Hamilton County,Kansas,"2,484"
Harper County,Kansas,"5,331"
Harvey County,Kansas,"33,817"
Haskell County,Kansas,"3,668"
Hodgeman County,Kansas,"1,710"
Jackson County,Kansas,"13,261"
Jefferson County,Kansas,"18,411"
Jewell County,Kansas,"2,937"
Johnson County,Kansas,"613,219"
Kearny County,Kansas,"3,891"
