coaster_name,status,speed,height,length,num_inversions,material_type,manufacturer,seating_type,park_name,city,state,country,zip_code
Nitro,status.operating,128.0,70.0,1644.0,0.0,Steel,B&M,Sit Down,Six Flags Great Adventure,Jackson,New Jersey,United States,08527
Olympia Looping,status.operating,80.0,38.0,1250.0,5.0,Steel,Schwarzkopf,Sit Down,Weiner Prater,Vienna,Vienna,Austria,1020
Outlaw Run,status.operating,110.0,50.0,,2.0,Wooden,RMC,Sit Down,Silver Dollar City,Branson,Missouri,United States,65616
Orion,status.operating,91.0,87.4,1621.0,0.0,Steel,B&M,Sit Down,Kings Island,Mason,Ohio,United States,45040
Pantheon,status.operating,117.0,54.0,,2.0,Steel,Intamin,Sit Down,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,23185
Phantom's Revenge,status.operating,132.0,70.0,975.0,0.0,Steel,Arrow,Sit Down,Kennywood,West Mifflin,Pennsylvania,United States,15122
Phoenix,status.operating,72.0,24.0,975.0,0.0,Wooden,Philadelphia Toboggan Coaster,Sit Down,Knoebels Amusement Resort,Elysburg,Pennsylvania,United States,17824
Phoenix,status.operating,65.0,15.0,,0.0,Steel,Maurer,Spinning,Adventureland,,,,
Piraten,status.operating,90.0,32.0,755.0,0.0,Steel,Intamin,Sit Down,Djurs Sommerland,Djursland,Central Denmark,Denmark,8581
Playland Wooden Coaster,status.operating,75.0,20.0,865.0,0.0,Wooden,na,Sit Down,PNE Playland,Vancouver,British Columbia,Canada,V5K 5J1
PowderKeg,status.operating,100.0,30.0,1068.0,0.0,Steel,S&S,Sit Down,Silver Dollar City,Branson,Missouri,United States,65616
Prowler,status.operating,82.0,31.0,937.0,0.0,Wooden,GCI,Sit Down,Worlds of Fun,Kansas City,Missouri,United States,64161
Quimera,status.operating,85.0,34.0,1050.0,3.0,Steel,Schwarzkopf,Sit Down,La Feria,Mexico City,Distrito Federal,Mexico,72320
Racer,status.operating,,22.0,686.0,0.0,Wooden,John Miller,Sit Down,Kennywood,West Mifflin,Pennsylvania,United States,15122
Raging Bull,status.operating,118.0,62.0,1542.0,0.0,Steel,B&M,Sit Down,Six Flags Great America,Gurnee,Illinois,United States,60031
Rampage,status.operating,,,,,na,Zierer,Sit Down,Big Sheep,,,,
Rampage,status.operating,90.0,37.0,1067.0,0.0,Wooden,CCI,Sit Down,Alabama Splash Adventure,Bessemer,Alabama,United States,35022
Raptor,status.operating,,,,,na,Vekoma,Inverted,Fantasilandia,,,,
Raptor,status.operating,90.0,33.0,770.0,3.0,Steel,B&M,Wing,Gardaland,,,,
Raptor,status.operating,92.0,42.0,1155.0,6.0,Steel,B&M,Inverted,Cedar Point,Sandusky,Ohio,United States,44870
Rattler,status.retracked,104.0,54.0,1550.0,0.0,Wooden,RCCA,Sit Down,Six Flags Fiesta Texas,San Antonio,Texas,United States,78257
Raven,status.operating,77.0,33.0,832.0,0.0,Wooden,CCI,Sit Down,Holiday World,Santa Claus,Indiana,United States,47579
